tam,secuencial,paralelo
5, 0, 0
5, 0, 0
5, 0, 1
5, 0, 0
5, 0, 1
5, 0, 1
5, 0, 1
5, 0, 0
5, 0, 1
5, 0, 0
10, 0, 4
10, 0, 3
10, 0, 3
10, 0, 3
10, 0, 3
10, 0, 4
10, 0, 3
10, 0, 2
10, 0, 2
10, 0, 2
20, 0, 13
20, 0, 15
20, 0, 15
20, 0, 12
20, 0, 13
20, 0, 12
20, 0, 13
20, 0, 12
20, 0, 14
20, 0, 13
30, 0, 29
30, 0, 30
30, 0, 33
30, 0, 31
30, 1, 28
30, 1, 29
30, 0, 34
30, 0, 28
30, 0, 29
30, 0, 28
40, 1, 57
40, 1, 52
40, 1, 59
40, 1, 56
40, 1, 59
40, 1, 55
40, 1, 56
40, 1, 55
40, 1, 57
40, 1, 54
50, 3, 92
50, 3, 88
50, 3, 91
50, 3, 86
50, 3, 92
50, 3, 86
50, 3, 91
50, 3, 86
50, 3, 88
50, 3, 87
100, 41, 356
100, 40, 367
100, 40, 362
100, 39, 384
100, 41, 376
100, 40, 375
100, 40, 370
100, 41, 376
100, 41, 371
100, 39, 374
120, 77, 541
120, 80, 535
120, 83, 541
120, 79, 562
120, 77, 531
120, 79, 532
120, 76, 537
120, 80, 541
120, 80, 539
120, 77, 535
140, 438, 750
140, 434, 759
140, 434, 759
140, 460, 759
140, 449, 758
140, 437, 773
140, 436, 757
140, 436, 752
140, 437, 746
140, 455, 777
160, 1198, 1190
160, 1190, 1213
160, 1200, 1223
160, 1192, 1211
160, 1189, 1246
160, 1191, 1224
160, 1209, 1213
160, 1199, 1233
160, 1189, 1207
160, 1204, 1212
180, 2312, 1655
180, 2322, 1636
180, 2330, 1661
180, 2327, 1644
180, 2311, 1639
180, 2321, 1570
180, 2331, 1618
180, 2310, 1657
180, 2510, 1626
180, 2335, 1601
