tam, secuencial, paralelo, numerohilos
5, 0, 0, 2
5, 0, 0, 2
5, 0, 0, 2
5, 0, 0, 2
5, 0, 0, 2
5, 0, 0, 2
5, 0, 0, 2
5, 0, 0, 2
5, 0, 0, 2
5, 0, 0, 2
5, 0, 0, 3
5, 0, 0, 3
5, 0, 0, 3
5, 0, 0, 3
5, 0, 0, 3
5, 0, 0, 3
5, 0, 0, 3
5, 0, 0, 3
5, 0, 0, 3
5, 0, 0, 3
5, 0, 0, 4
5, 0, 0, 4
5, 0, 0, 4
5, 0, 0, 4
5, 0, 0, 4
5, 0, 0, 4
5, 0, 0, 4
5, 0, 0, 4
5, 0, 0, 4
5, 0, 0, 4
5, 0, 0, 5
5, 0, 0, 5
5, 0, 0, 5
5, 0, 0, 5
5, 0, 0, 5
5, 0, 0, 5
5, 0, 0, 5
5, 0, 0, 5
5, 0, 0, 5
5, 0, 3, 5
5, 0, 6, 6
5, 0, 1, 6
5, 0, 0, 6
5, 0, 0, 6
5, 0, 0, 6
5, 0, 0, 6
5, 0, 0, 6
5, 0, 0, 6
5, 0, 1, 6
5, 0, 0, 6
5, 0, 0, 7
5, 0, 0, 7
5, 0, 0, 7
5, 0, 0, 7
5, 0, 0, 7
5, 0, 0, 7
5, 0, 0, 7
5, 0, 0, 7
5, 0, 0, 7
5, 0, 0, 7
5, 0, 0, 8
5, 0, 0, 8
5, 0, 0, 8
5, 0, 0, 8
5, 0, 0, 8
5, 0, 0, 8
5, 0, 0, 8
5, 0, 0, 8
5, 0, 0, 8
5, 0, 0, 8
10, 0, 0, 2
10, 0, 0, 2
10, 0, 0, 2
10, 0, 0, 2
10, 0, 0, 2
10, 0, 0, 2
10, 0, 0, 2
10, 0, 0, 2
10, 0, 0, 2
10, 0, 0, 2
10, 0, 0, 3
10, 0, 0, 3
10, 0, 0, 3
10, 0, 0, 3
10, 0, 0, 3
10, 0, 0, 3
10, 0, 0, 3
10, 0, 0, 3
10, 0, 0, 3
10, 0, 0, 3
10, 0, 0, 4
10, 0, 0, 4
10, 0, 0, 4
10, 0, 0, 4
10, 0, 0, 4
10, 0, 2, 4
10, 0, 1, 4
10, 0, 2, 4
10, 0, 0, 4
10, 0, 0, 4
10, 0, 0, 5
10, 0, 0, 5
10, 0, 0, 5
10, 0, 0, 5
10, 0, 0, 5
10, 0, 0, 5
10, 0, 0, 5
10, 0, 0, 5
10, 0, 0, 5
10, 0, 0, 5
10, 0, 0, 6
